Date,Time,Lat,Lon,Base
7/9/2014,9:47:00,40.8182,-73.9295,B02598
7/9/2014,9:55:00,40.8456,-73.7836,B02598
7/9/2014,9:59:00,40.8632,-73.8638,B02598
7/9/2014,11:03:00,40.8852,-73.8925,B02598
7/9/2014,11:58:00,40.8399,-73.8346,B02598
7/9/2014,11:59:00,40.8513,-73.8461,B02598
7/9/2014,12:01:00,40.8857,-73.9139,B02598
7/9/2014,12:06:00,40.8366,-73.8934,B02598
7/9/2014,12:08:00,40.8879,-73.9159,B02598
7/9/2014,13:13:00,40.8358,-73.8929,B02598
7/9/2014,13:38:00,40.8411,-73.8459,B02598
7/9/2014,13:41:00,40.8146,-73.8979,B02598
7/9/2014,13:50:00,40.8512,-73.8458,B02598
7/9/2014,13:50:00,40.8512,-73.8458,B02598
7/9/2014,13:51:00,40.8241,-73.9313,B02598
7/9/2014,14:10:00,40.893,-73.8995,B02598
7/9/2014,14:31:00,40.837,-73.8906,B02598
7/9/2014,14:42:00,40.8092,-73.9306,B02598
7/9/2014,14:45:00,40.8369,-73.8908,B02598
7/9/2014,15:15:00,40.8593,-73.8869,B02598
7/9/2014,15:15:00,40.8593,-73.8869,B02598
7/9/2014,15:21:00,40.8191,-73.9124,B02598
7/9/2014,15:25:00,40.8192,-73.845,B02598
7/9/2014,15:30:00,40.8995,-73.9011,B02598
7/9/2014,15:32:00,40.868,-73.903,B02598
7/9/2014,15:35:00,40.8797,-73.8809,B02598
7/9/2014,16:01:00,40.8573,-73.895,B02598
7/9/2014,16:01:00,40.8573,-73.895,B02598
7/9/2014,16:17:00,40.8779,-73.8796,B02598
7/9/2014,16:17:00,40.8779,-73.8796,B02598
7/9/2014,16:36:00,40.8669,-73.8811,B02598
7/9/2014,16:55:00,40.8128,-73.888,B02598
7/9/2014,17:13:00,40.8618,-73.8911,B02598
7/9/2014,17:20:00,40.8766,-73.9175,B02598
7/9/2014,17:50:00,40.8889,-73.8925,B02598
7/9/2014,18:20:00,40.8562,-73.901,B02598
7/9/2014,18:45:00,40.8931,-73.861,B02598
7/9/2014,19:51:00,40.8608,-73.8983,B02598
7/9/2014,20:39:00,40.8087,-73.9306,B02598
7/9/2014,20:43:00,40.8569,-73.8949,B02598
7/9/2014,20:50:00,40.8547,-73.8883,B02598
7/9/2014,20:59:00,40.8013,-73.91,B02598
7/9/2014,21:03:00,40.8535,-73.8985,B02598
7/9/2014,21:06:00,40.8433,-73.8668,B02598
7/9/2014,21:40:00,40.8813,-73.9091,B02598
7/9/2014,22:57:00,40.8569,-73.8855,B02598
7/10/2014,0:18:00,40.8163,-73.9171,B02598
7/10/2014,0:18:00,40.8163,-73.9171,B02598
7/10/2014,5:13:00,40.8714,-73.8823,B02598
7/10/2014,5:59:00,40.8183,-73.9276,B02598
7/10/2014,6:55:00,40.8839,-73.8555,B02598
7/10/2014,7:02:00,40.8875,-73.9053,B02598
7/10/2014,7:44:00,40.8455,-73.8261,B02598
7/10/2014,8:00:00,40.8976,-73.9046,B02598
7/10/2014,8:25:00,40.8862,-73.9049,B02598
7/10/2014,8:39:00,40.8837,-73.909,B02598
7/10/2014,9:21:00,40.8855,-73.9139,B02598
7/10/2014,9:30:00,40.8204,-73.9006,B02598
7/10/2014,10:47:00,40.8703,-73.8871,B02598
7/10/2014,11:05:00,40.8603,-73.8887,B02598
7/10/2014,11:59:00,40.8673,-73.9058,B02598
7/10/2014,12:04:00,40.8212,-73.886,B02598
7/10/2014,13:05:00,40.8455,-73.9048,B02598
7/10/2014,13:57:00,40.8931,-73.8997,B02598
7/10/2014,14:33:00,40.8424,-73.8908,B02598
